Geofences,Metric,Ref. Alg.,Prop. Alg.
1,Encryption (s),"1.513 ± 0.038 (95% CI: 1.499, 1.527)","0.76 ± 0.021 (95% CI: 0.753, 0.768)"
,Computation (s),"0.051 ± 0.008 (95% CI: 0.048, 0.055)","0.046 ± 0.007 (95% CI: 0.044, 0.049)"
,Decryption (s),"0.069 ± 0.006 (95% CI: 0.067, 0.071)","0.069 ± 0.003 (95% CI: 0.068, 0.07)"
,Total Runtime (s),"1.634 ± 0.037 (95% CI: 1.62, 1.648)","0.876 ± 0.023 (95% CI: 0.867, 0.884)"
10,Encryption (s),"1.515 ± 0.027 (95% CI: 1.505, 1.525)","0.759 ± 0.024 (95% CI: 0.75, 0.768)"
,Computation (s),"0.473 ± 0.034 (95% CI: 0.461, 0.486)","0.439 ± 0.015 (95% CI: 0.433, 0.445)"
,Decryption (s),"0.694 ± 0.025 (95% CI: 0.684, 0.703)","0.693 ± 0.022 (95% CI: 0.685, 0.701)"
,Total Runtime (s),"2.682 ± 0.044 (95% CI: 2.666, 2.699)","1.891 ± 0.039 (95% CI: 1.876, 1.906)"
100,Encryption (s),"1.538 ± 0.032 (95% CI: 1.526, 1.55)","0.743 ± 0.016 (95% CI: 0.737, 0.749)"
,Computation (s),"4.73 ± 0.059 (95% CI: 4.708, 4.752)","4.473 ± 0.062 (95% CI: 4.45, 4.496)"
,Decryption (s),"6.951 ± 0.046 (95% CI: 6.934, 6.968)","6.98 ± 0.074 (95% CI: 6.953, 7.008)"
,Total Runtime (s),"13.22 ± 0.085 (95% CI: 13.188, 13.252)","12.197 ± 0.12 (95% CI: 12.152, 12.241)"
200,Encryption (s),"1.531 ± 0.033 (95% CI: 1.518, 1.543)","0.744 ± 0.012 (95% CI: 0.74, 0.749)"
,Computation (s),"9.416 ± 0.067 (95% CI: 9.391, 9.441)","8.929 ± 0.05 (95% CI: 8.911, 8.948)"
,Decryption (s),"13.87 ± 0.065 (95% CI: 13.846, 13.895)","13.859 ± 0.081 (95% CI: 13.829, 13.889)"
,Total Runtime (s),"24.817 ± 0.093 (95% CI: 24.782, 24.851)","23.533 ± 0.111 (95% CI: 23.491, 23.574)"
300,Encryption (s),"1.526 ± 0.026 (95% CI: 1.517, 1.536)","0.75 ± 0.016 (95% CI: 0.744, 0.756)"
,Computation (s),"14.037 ± 0.172 (95% CI: 13.973, 14.101)","13.316 ± 0.166 (95% CI: 13.254, 13.378)"
,Decryption (s),"20.656 ± 0.209 (95% CI: 20.578, 20.734)","20.626 ± 0.188 (95% CI: 20.556, 20.696)"
,Total Runtime (s),"36.22 ± 0.372 (95% CI: 36.081, 36.359)","34.692 ± 0.323 (95% CI: 34.571, 34.813)"
