Queries,Metric,Ref. Alg.,Prop. Alg.
1,Runtime (s),"3.651 ± 0.07 (95% CI: 3.625, 3.677)","3.661 ± 0.051 (95% CI: 3.642, 3.679)"
,Throughput (q/s),"0.274 ± 0.005 (95% CI: 0.272, 0.276)","0.273 ± 0.004 (95% CI: 0.272, 0.275)"
,Latency (s/q),"3.651 ± 0.07 (95% CI: 3.625, 3.677)","3.661 ± 0.051 (95% CI: 3.642, 3.679)"
10,Runtime (s),"12.363 ± 0.22 (95% CI: 12.281, 12.445)","12.406 ± 0.2 (95% CI: 12.332, 12.481)"
,Throughput (q/s),"0.809 ± 0.014 (95% CI: 0.804, 0.814)","0.806 ± 0.013 (95% CI: 0.802, 0.811)"
,Latency (s/q),"1.236 ± 0.022 (95% CI: 1.228, 1.245)","1.241 ± 0.02 (95% CI: 1.233, 1.248)"
50,Runtime (s),"53.84 ± 0.116 (95% CI: 53.797, 53.884)","54.184 ± 0.111 (95% CI: 54.143, 54.225)"
,Throughput (q/s),"0.929 ± 0.002 (95% CI: 0.928, 0.929)","0.923 ± 0.002 (95% CI: 0.922, 0.923)"
,Latency (s/q),"1.077 ± 0.002 (95% CI: 1.076, 1.078)","1.084 ± 0.002 (95% CI: 1.083, 1.085)"
100,Runtime (s),"103.451 ± 0.729 (95% CI: 103.179, 103.723)","103.992 ± 0.726 (95% CI: 103.721, 104.263)"
,Throughput (q/s),"0.967 ± 0.007 (95% CI: 0.964, 0.969)","0.962 ± 0.007 (95% CI: 0.959, 0.964)"
,Latency (s/q),"1.035 ± 0.007 (95% CI: 1.032, 1.037)","1.04 ± 0.007 (95% CI: 1.037, 1.043)"
